2,2,2,4,2,2,2,2,1,1,1,1,2,1,2,1,3,2,1,3,1,3,3,2,1,2,4,1,2,2,4,1,2,3,2,1,1,4,1,1,2,1,3,4,2,1,4,2,1,3,1,3,1,2,2,2.294086
4,2,2,2,1,2,3,2,1,1,2,2,3,1,2,2,1,3,2,2,1,2,2,1,2,1,2,2,2,4,2,1,1,2,1,4,3,2,3,4,3,4,3,1,2,1,1,1,3,3,3,4,3,1,2,2.130505
2,2,4,4,4,2,2,3,4,1,4,2,2,3,3,1,4,2,4,3,1,3,3,1,3,4,2,1,4,1,2,1,4,4,3,3,1,1,2,1,1,4,2,2,4,4,4,4,1,1,3,2,2,3,2,2.124959
2,1,3,3,1,3,2,4,2,4,3,1,3,1,1,3,1,2,2,2,4,3,1,4,1,1,3,4,3,3,3,3,1,2,2,1,2,4,2,1,4,4,3,3,2,2,2,3,4,4,4,4,4,3,2,1.620707
1,1,2,2,3,2,3,4,1,1,3,3,4,1,3,3,4,2,2,2,3,2,2,1,3,3,4,4,1,4,1,3,1,2,4,1,2,3,1,4,2,1,2,4,4,1,4,4,4,3,3,1,3,2,2,1.565366
2,3,4,3,1,2,4,1,2,2,2,1,4,1,4,4,3,4,3,3,1,2,3,1,1,3,4,3,2,2,4,1,1,2,4,3,4,3,3,4,1,4,2,4,3,2,3,3,3,2,2,4,1,1,2,1.995572
3,3,1,3,3,4,4,4,3,4,4,1,4,2,4,2,2,4,2,4,2,3,2,1,4,1,4,3,4,4,1,1,4,4,4,1,1,4,1,3,2,2,4,4,1,1,1,4,3,4,3,2,2,1,2,1.268861
2,3,1,3,4,3,2,2,2,4,4,2,1,4,3,2,1,1,3,4,4,2,2,1,2,1,1,2,4,3,4,1,2,4,4,1,4,2,1,2,1,2,4,1,1,2,4,1,3,2,4,2,4,1,2,1.720211
2,3,4,2,4,3,1,4,1,2,2,1,3,3,3,3,4,3,1,1,4,4,2,2,2,4,3,1,1,4,4,2,2,2,1,1,1,2,3,4,2,1,4,4,2,4,2,1,4,2,4,1,2,1,2,1.631873
4,1,1,2,4,3,4,2,2,4,4,1,3,3,2,4,2,2,3,2,2,4,2,4,1,4,1,2,2,2,2,3,3,2,1,2,4,1,4,3,2,2,3,4,3,2,1,1,3,3,4,1,3,2,2,1.640150
1,4,4,2,4,1,4,3,3,1,2,3,3,2,3,4,2,4,3,2,1,2,3,4,2,3,3,2,1,3,3,2,3,1,1,2,1,3,4,1,3,3,3,4,4,3,4,3,4,1,3,2,1,2,2,1.619119
2,4,4,1,3,4,4,1,4,3,3,2,1,3,2,2,4,3,3,1,3,1,2,3,1,4,4,3,4,1,4,4,2,1,1,4,4,2,4,1,2,1,4,2,2,1,2,1,2,3,1,4,4,3,2,1.621003
4,4,3,4,1,1,4,1,2,3,4,4,3,2,4,4,3,4,3,3,4,2,1,2,2,1,2,2,2,1,4,3,2,1,2,1,2,4,3,2,4,4,2,4,1,2,3,2,1,4,4,2,3,4,2,1.430775
1,4,3,1,2,4,2,3,2,4,4,2,3,1,4,2,3,3,3,4,4,1,2,1,4,2,4,2,4,1,3,3,2,4,4,2,4,3,3,3,3,4,2,2,4,1,1,2,3,3,3,2,1,4,2,1.833905
4,3,4,1,1,1,1,2,3,2,3,2,3,4,2,3,4,3,3,3,4,4,2,3,3,4,1,4,4,3,1,3,4,3,3,4,3,4,4,4,3,4,4,2,4,4,2,2,3,4,4,4,3,1,2,1.704876
1,2,4,4,1,3,1,4,4,3,3,3,3,2,2,4,3,2,2,1,2,1,2,1,3,4,3,3,4,4,3,3,2,3,4,3,2,4,1,4,4,2,2,4,2,2,3,3,4,4,3,2,1,4,2,1.403043
4,1,1,4,3,1,4,4,3,3,1,4,3,4,3,1,2,1,4,2,3,1,4,4,1,2,3,2,2,1,1,1,3,2,3,3,3,4,2,4,3,4,2,3,1,4,4,3,1,2,1,2,2,3,2,1.404677
1,4,3,1,2,4,2,3,3,3,1,4,2,3,4,3,1,1,1,3,1,2,2,4,1,3,2,3,4,3,3,4,3,1,1,2,3,2,3,1,4,2,4,1,3,4,3,2,3,3,3,1,1,2,2,1.598570
4,4,1,4,4,4,1,1,1,2,1,4,1,3,3,1,4,1,1,1,2,2,3,1,2,1,3,2,3,2,4,2,3,3,4,3,3,1,3,3,2,3,1,3,3,3,3,3,4,3,4,3,3,2,2,1.734442
2,1,1,2,4,1,4,4,2,1,1,2,2,1,2,2,2,4,2,3,2,4,4,1,4,4,2,4,2,1,2,4,1,4,3,1,2,2,1,1,4,1,2,2,2,1,2,3,4,2,4,3,2,4,2,1.835790
3,2,4,2,1,2,2,2,2,1,1,4,2,4,2,1,2,4,2,1,3,1,4,2,4,1,2,2,4,1,2,2,1,3,2,2,3,1,1,1,4,4,3,3,2,1,2,1,4,1,4,1,1,4,2,1.972068
2,4,4,1,1,2,2,4,2,1,3,4,3,2,2,3,4,3,2,2,4,1,3,4,2,1,1,2,1,1,1,4,2,3,4,3,1,4,2,1,2,4,2,2,1,1,3,1,2,2,1,2,2,3,2,1.776464
1,4,4,2,2,4,4,2,3,3,3,2,3,2,2,3,2,3,2,2,2,3,1,4,3,2,1,2,2,2,1,3,4,4,4,1,2,1,2,2,2,2,3,2,1,3,2,3,1,1,4,2,2,2,2,1.609168
4,2,2,1,3,2,2,3,1,4,4,1,2,2,2,4,4,3,3,2,3,3,1,2,4,3,2,2,4,2,1,2,3,1,3,4,3,3,2,4,3,3,2,3,2,4,3,3,4,2,4,4,3,1,2,1.831448
